"Species","Year","SSP2_MIT","SSP2_REF","ABATE","PCT_ABATE"
"HFC-125",1991,0.0018,0.0018,0,0
"HFC-125",1992,0.0128,0.0128,0,0
"HFC-125",1993,0.1731,0.1731,0,0
"HFC-125",1994,0.5301,0.5301,0,0
"HFC-125",1995,1.0006,1.0006,0,0
"HFC-125",1996,1.539,1.539,0,0
"HFC-125",1997,2.088,2.088,0,0
"HFC-125",1998,5.267,5.267,0,0
"HFC-125",1999,5.7885,5.7885,0,0
"HFC-125",2000,7.6597,7.6597,0,0
"HFC-125",2001,8.6314,8.6314,0,0
"HFC-125",2002,9.9285,9.9285,0,0
"HFC-125",2003,12.1788,12.1788,0,0
"HFC-125",2004,12.953,12.953,0,0
"HFC-125",2005,14.7277,14.7277,0,0
"HFC-125",2006,17.4341,17.4341,0,0
"HFC-125",2007,19.9293,19.9293,0,0
"HFC-125",2008,22.7901,22.7901,0,0
"HFC-125",2009,25.4567,25.4567,0,0
"HFC-125",2010,31.1159,31.1159,0,0
"HFC-125",2011,35.2106,35.2106,0,0
"HFC-125",2012,38.8375,38.8375,0,0
"HFC-125",2013,47.3154,47.3154,0,0
"HFC-125",2014,55.57,55.57,0,0
"HFC-125",2015,66.1605,66.1605,0,0
"HFC-125",2016,77.6136,77.6136,0,0
"HFC-125",2017,89.981,89.981,0,0
"HFC-125",2018,103.3185,103.3185,0,0
"HFC-125",2019,115.9733,117.5711,1.59779999999999,0.0135900744315567
"HFC-125",2020,132.2613,135.6036,3.34230000000002,0.0246475757280782
"HFC-125",2021,135.3704,153.2406,17.8702,0.116615309519801
"HFC-125",2022,138.2311,170.5775,32.3464,0.189628761120312
"HFC-125",2023,140.8673,187.0751,46.2078,0.247001337965341
"HFC-125",2024,141.5372,202.7394,61.2022,0.301876201665784
"HFC-125",2025,142.3099,222.0772,79.7673,0.359187255603007
"HFC-125",2026,141.2672,240.3336,99.0664,0.412203703518776
"HFC-125",2027,140.3547,257.6338,117.2791,0.455216279851479
