# File: A23.elecS_subsector_shrwt.csv
# Title: Multiple Load Segments Subsector Shareweights
# Units: unitless
# Comments: Subsector shareweights at points of inflection (end-points of interpolation function)
# Column types: cccci 
# ----------
region,supplysector,subsector,year,share.weight
USA,base load generation,coal,initial-future-year,1
USA,intermediate generation,coal,initial-future-year,1
USA,subpeak generation,coal,initial-future-year,1
USA,peak generation,coal,initial-future-year,1
USA,base load generation,coal,end-year,1
USA,intermediate generation,coal,end-year,1
USA,subpeak generation,coal,end-year,1
USA,peak generation,coal,end-year,1
USA,base load generation,gas,initial-future-year,1
USA,intermediate generation,gas,initial-future-year,1
USA,subpeak generation,gas,initial-future-year,1
USA,peak generation,gas,initial-future-year,1
USA,base load generation,gas,end-year,1
USA,intermediate generation,gas,end-year,1
USA,subpeak generation,gas,end-year,1
USA,peak generation,gas,end-year,1
USA,base load generation,biomass,end-year,1
USA,intermediate generation,biomass,end-year,1
USA,subpeak generation,biomass,end-year,1
USA,peak generation,biomass,end-year,1
USA,base load generation,geothermal,end-year,1
USA,intermediate generation,geothermal,end-year,1
USA,subpeak generation,geothermal,end-year,1
USA,peak generation,geothermal,end-year,1
USA,base load generation,nuclear,initial-future-year,0
USA,intermediate generation,nuclear,initial-future-year,0
USA,subpeak generation,nuclear,initial-future-year,0
USA,peak generation,nuclear,initial-future-year,0
USA,base load generation,nuclear,2025,0
USA,intermediate generation,nuclear,2025,0
USA,subpeak generation,nuclear,2025,0
USA,peak generation,nuclear,2025,0
USA,base load generation,nuclear,2030,1
USA,intermediate generation,nuclear,2030,1
USA,subpeak generation,nuclear,2030,1
USA,peak generation,nuclear,2030,1
USA,base load generation,nuclear,end-year,1
USA,intermediate generation,nuclear,end-year,1
USA,subpeak generation,nuclear,end-year,1
USA,peak generation,nuclear,end-year,1
USA,base load generation,wind,end-year,1
USA,intermediate generation,wind,end-year,0
USA,subpeak generation,wind,end-year,0
USA,peak generation,wind,end-year,0
USA,base load generation,wind,2030,1
USA,intermediate generation,wind,initial-future-year,0
USA,subpeak generation,wind,initial-future-year,0
USA,peak generation,wind,initial-future-year,0
USA,base load generation,solar,end-year,1
USA,intermediate generation,solar,end-year,1
USA,subpeak generation,solar,end-year,1
USA,peak generation,solar,end-year,1
USA,base load generation,solar,2030,1
USA,intermediate generation,solar,2030,1
USA,subpeak generation,solar,2030,1
USA,peak generation,solar,2030,1
USA,elect_td_bld,rooftop_pv,end-year,1
USA,elect_td_bld,rooftop_pv,2030,1
USA,peak generation,grid_storage,end-year,1
USA,base load generation,refined liquids,initial-future-year,0
USA,intermediate generation,refined liquids,initial-future-year,0
USA,subpeak generation,refined liquids,initial-future-year,0
USA,peak generation,refined liquids,initial-future-year,0
USA,base load generation,refined liquids,end-year,0
USA,intermediate generation,refined liquids,end-year,0
USA,subpeak generation,refined liquids,end-year,0
USA,peak generation,refined liquids,end-year,0
